ts,open,high,low,close,volume,quote
1766296800000,88102.00,88174.50,88030.00,88057.30,799.509,70444409.83660
1766300400000,88057.40,88139.60,88013.00,88138.70,749.892,66046703.73580
1766304000000,88138.80,88729.20,88103.30,88509.00,4896.072,432970355.95000
1766307600000,88509.00,89050.00,88465.00,88868.00,5696.916,505762120.39180
1766311200000,88868.00,88940.00,88536.00,88633.10,3427.730,304126889.07790
1766314800000,88633.20,88722.00,88544.30,88570.60,1405.291,124518309.77320
1766318400000,88570.70,88885.90,88412.90,88588.60,3584.184,317748662.31620
1766322000000,88588.60,88660.40,87548.50,87630.50,12547.715,1104066706.72600
1766325600000,87630.40,88119.90,87575.70,88019.10,6183.043,543417887.88800
1766329200000,88019.00,88254.90,87763.20,88024.70,3418.513,300797770.72380
1766332800000,88024.70,88329.10,87936.30,88309.80,2859.218,252088660.51660
1766336400000,88309.90,88453.90,88222.70,88283.60,2262.263,199847212.63000
1766340000000,88283.70,88424.90,87902.00,88406.90,2772.877,244353751.33360
1766343600000,88406.80,88588.00,88162.10,88448.20,2320.198,205094997.14560
1766347200000,88448.30,88465.90,88190.00,88195.60,929.467,82068652.44940
1766350800000,88195.70,88338.20,88047.40,88121.60,989.679,87285693.72800
1766354400000,88121.60,88459.00,88074.30,88440.20,1257.475,111050234.79410
1766358000000,88440.30,88786.90,88325.00,88621.30,3078.416,272621641.24760
1766361600000,88621.30,89600.00,88521.70,88581.70,12829.644,1143358443.31860
1766365200000,88581.70,89250.00,88458.20,88580.10,6105.566,542197380.59530
1766368800000,88580.20,88618.10,87845.00,88417.10,9340.629,823895954.65530
1766372400000,88417.10,88826.10,88230.10,88727.50,3720.966,329694568.76600
1766376000000,88727.40,88996.30,88665.30,88863.50,2866.015,254728164.75730
1766379600000,88863.40,88966.00,88712.10,88790.70,1818.841,161595717.52810
1766383200000,88790.60,88979.40,88688.60,88867.30,1891.187,167993930.05170
1766386800000,88867.30,89173.80,88845.00,89127.70,2568.866,228809422.41880
1766390400000,89127.80,89887.90,89050.10,89297.60,11676.723,1045497024.88500
1766394000000,89297.60,89798.00,89253.20,89785.30,3941.621,352893068.79840
1766397600000,89785.30,89837.40,89561.30,89742.00,3760.209,337355325.20630
1766401200000,89742.00,90085.00,89607.70,89905.20,6536.321,587390775.70340
1766404800000,89905.20,90599.00,89811.60,90171.20,9114.044,822010606.29890
1766408400000,90171.20,90286.80,89685.00,89882.60,6062.297,545272188.17200
1766412000000,89882.60,90259.60,89381.30,90088.40,12803.538,1150478874.91800
1766415600000,90088.40,90451.90,89109.10,89688.50,15073.568,1351399164.53990
1766419200000,89688.60,90088.00,89472.60,89508.40,6216.657,557974343.16380
1766422800000,89508.50,89545.20,89044.90,89271.00,6110.885,545497740.06720
1766426400000,89271.00,89488.80,89102.00,89104.80,2854.043,254922316.67190
1766430000000,89104.90,89109.70,87906.70,88011.10,10969.148,970743959.28020
1766433600000,88011.00,88445.90,87872.60,88305.90,8131.754,716615258.05010
1766437200000,88305.30,88574.20,88186.60,88232.10,2926.912,258690622.47140
1766440800000,88232.00,88805.90,88100.00,88616.10,3873.327,342636509.98440
1766444400000,88616.00,88679.00,88388.00,88581.50,3500.708,309947191.95060
1766448000000,88581.50,88904.90,88461.20,88731.50,3601.424,319376718.92500
1766451600000,88731.60,88855.40,88379.00,88470.90,2677.543,237164608.68690
1766455200000,88470.90,88722.00,88070.00,88167.80,4604.278,407030093.25850
1766458800000,88167.70,88323.00,87738.30,88128.20,5641.993,496772255.17520
1766462400000,88128.20,88342.00,87889.60,87892.00,2611.545,230055550.71480
1766466000000,87892.10,87988.00,87547.70,87726.60,4955.093,434835613.90070
1766469600000,87726.70,87745.00,86976.60,87355.20,11412.932,996525467.45280
1766473200000,87355.40,87651.40,87318.70,87531.30,4200.862,367556497.14100
1766476800000,87531.30,87662.60,87389.00,87426.80,2902.872,254068158.69230
1766480400000,87426.70,87595.50,87256.30,87494.40,2626.450,229663571.29140
